,title,link
0,SIA-India Pitches for Balanced Approach for Allocation of the Spectrum for IMT and Satellite,https://www.newsvoir.com/release/sia-india-pitches-for-balanced-approach-for-allocation-of-the-spectrum-for-imt-and-satellite-19675.html
1,"NTT DATA and NLB Services Announce, 'Bridge The Gap' Hackathon for Women IT Professionals",https://www.newsvoir.com/release/ntt-data-and-nlb-services-announce-bridge-the-gap-hackathon-for-women-it-professionals-19624.html
2,Truecaller Partners with Tanla to Improve Efficiency for Business Messaging,https://www.newsvoir.com/release/truecaller-partners-with-tanla-to-improve-efficiency-for-business-messaging-19575.html
3,Innovecture Celebrates its 3rd Patent in Payments Space,https://www.newsvoir.com/release/innovecture-celebrates-its-3rd-patent-in-payment-space-19357.html
4,DE-CIX and Lightstorm Partner to Accelerate Access to DE-CIX Internet Exchange Platform ,https://www.newsvoir.com/release/de-cix-and-lightstorm-partner-to-accelerate-access-to-de-cix-internet-exchange-platform-19152.html
5,"Enterprise Innovation Challenge (EIC) Organised by NASSCOM CoE in Collaboration with MeitY to bring together Global Experts, Enterprises and Start-ups to Develop ESG use Cases",https://www.newsvoir.com/release/enterprise-innovation-challenge-eic-organised-by-nasscom-coe-in-collaboration-with-meity-to-bring-together-global-experts-enterprises-and-start-ups-to-develop-esg-use-cases-19112.html
6,MAXHUB Aims to Enable Digital Rallies for Elections with its Disruptive Unified Communication Products,https://www.newsvoir.com/release/maxhub-aims-to-enable-digital-rallies-for-elections-with-its-disruptive-unified-communication-products-19104.html
7,AI to Benefit Customers and Developers in Real Estate,https://www.newsvoir.com/release/ai-to-benefit-customers-and-developers-in-real-estate-19018.html
8,Ginesys to Invest in CASA Retail AI to Power Targeted Personalised Customer Engagement,https://www.newsvoir.com/release/ginesys-to-invest-in-casa-retail-ai-to-power-targeted-personalised-customer-engagement-19014.html
9,Netrack Prioritizing Business Resilience in 2022,https://www.newsvoir.com/release/netrack-prioritizing-business-resilience-in-2022-18989.html
