,title,link
0,Engineer Vaibhav Ghadiok Architects the First Autonomous Traffic Management Platform in the World,https://www.newsvoir.com/release/engineer-vaibhav-ghadiok-architects-the-first-autonomous-traffic-management-platform-in-the-world-19006.html
1,"ANSCER Robotics Optimizes Internal Logistics; Launches Next-Gen AMRs at India Warehousing Show, New Delhi",https://www.newsvoir.com/release/anscer-robotics-optimizes-internal-logistics-launches-next-gen-amrs-at-india-warehousing-show-new-delhi-18775.html
2,"Sapio Analytics, Prime International Joint Venture Launches AI Surveillance for Critical Infrastructure ",https://www.newsvoir.com/release/sapio-analytics-prime-international-joint-venture-launches-ai-surveillance-for-critical-infrastructure-17850.html
3,A White Paper on the Future Opportunities of Drone Technology by Archit Tiwari,https://www.newsvoir.com/release/a-white-paper-on-the-future-opportunities-of-drone-technology-by-archit-tiwari-17370.html
4,Univ.AI Launches the Data Science Leaders Program; Promises Compensations of up to INR 35 Lacs,https://www.newsvoir.com/release/univ-ai-launches-the-data-science-leaders-program-promises-compensations-of-up-to-inr-35-lacs-17305.html
5,"Sapio Smart Healthcare Creates Empathetic Medical Bot to Empower Initial Medical Consultation
",https://www.newsvoir.com/release/sapio-smart-healthcare-creates-empathetic-medical-bot-to-empower-initial-medical-consultation-17079.html
6,Technology-enabled Services Unlocked Unprecedented Access to Nurses in their Homes: Creative Technologist Shreiya,https://www.newsvoir.com/release/technology-enabled-services-unlocked-unprecedented-access-to-nurses-in-their-homes-creative-technologist-shreiya-16899.html
7,Pune's SaiShree Hospital Launches Western India's First Fully Active Robotic Joint Replacement System,https://www.newsvoir.com/release/pune-apos-s-saishree-hospital-launches-western-india-apos-s-first-fully-active-robotic-joint-replacement-system-16408.html
8,"Universal Robots Reaches Industry Milestone with 50,000 Collaborative Robots Sold",https://www.newsvoir.com/release/universal-robots-reaches-industry-milestone-with-50-000-collaborative-robots-sold-15250.html
9,CMS IT Services Makes Intelligent Automation Affordable with India's First AI-Driven Automation Shared Delivery Model,https://www.newsvoir.com/release/cms-it-services-makes-intelligent-automation-affordable-with-india-apos-s-first-ai-driven-automation-shared-delivery-model-15069.html
10,India's First Transparent NT Mask from Comofi Medtech Makes Communication & COVID-19 Swab Collection Easier,https://www.newsvoir.com/release/india-apos-s-first-transparent-nt-mask-from-comofi-medtech-makes-communication-covid-19-swab-collection-easier-14879.html
11,"Leading Luminaries and Asia-Pacific Attendees Converged at the Universal Robots ""Meet the Cobot Leaders"" Keynote",https://www.newsvoir.com/release/leading-luminaries-and-asia-pacific-attendees-converged-at-the-universal-robots-quot-meet-the-cobot-leaders-quot-keynote-14777.html
12,Universal Robots Hosts First Virtual Collaborative Robots Exhibition & Conference in Asia-Pacific,https://www.newsvoir.com/release/universal-robots-hosts-first-virtual-collaborative-robots-exhibition-conference-in-asia-pacific-14706.html
13,Astutrix's Robotic Selling & Engagement - Enabling Small and Medium Brands thrive Online ,https://www.newsvoir.com/release/astutrix-apos-s-robotic-selling-engagement-enabling-small-and-medium-brands-thrive-online-14557.html
14,Edutainment Startup SP Robotic Works Bags TiE50 Winner Award at TiEcon 2020,https://www.newsvoir.com/release/edutainment-startup-sp-robotic-works-bags-tie50-winner-award-at-tiecon-2020-14548.html
15,"Proxgy Enables its Users to Book Real World Human Avatar, Navigate Physical World",https://www.newsvoir.com/release/proxgy-enables-its-users-to-book-real-world-human-avatar-navigate-physical-world-14541.html
16,Robotic Surgeries Emerge as Saviour Amidst COVID-19 Pandemic,https://www.newsvoir.com/release/robotic-surgeries-emerge-as-saviour-amidst-covid-19-pandemic-14490.html
17,SMAARC Hosts a Virtual Panel Discussion on 'Adopting the Manufacturing's New Normal',https://www.newsvoir.com/release/smaarc-hosts-a-virtual-panel-discussion-on-apos-adopting-the-manufacturing-apos-s-new-normal-apos-14445.html
18,ShopX - Omnipresent get Govt. Approval to Start Ecom Drone Delivery Trials from Sept 1 ,https://www.newsvoir.com/release/shopx-omnipresent-get-govt-approval-to-start-ecom-drone-delivery-trials-from-sept-1-14385.html
19,DIYA Joins Spell Bee League Season 3 as Exclusive Robotic Partner,https://www.newsvoir.com/release/diya-joins-spell-bee-league-season-3-as-exclusive-robotic-partner-14312.html
