,title,link
0,35th International VLSI and Embedded Systems Conference Inaugurated by Rajeev Chandrasekhar,https://www.newsvoir.com/release/35th-international-vlsi-and-embedded-systems-conference-inaugurated-by-rajeev-chandrasekhar-19569.html
1,"14 Eminent Global Leaders to Participate in VLSID 2022 between Feb 26-March 2, 2022


",https://www.newsvoir.com/release/14-eminent-global-leaders-to-participate-in-vlsid-2022-between-feb-26-march-2-2022-19256.html
2,Sony Develops World's First Stacked CMOS Image Sensor Technology with 2-Layer Transistor Pixel,https://www.newsvoir.com/release/sony-develops-world-s-first-stacked-cmos-image-sensor-technology-with-2-layer-transistor-pixel-18762.html
3,"SynchroKnot - Virtual System on Chip (vSoC); A Paradigm Shift in Cloud Computing
",https://www.newsvoir.com/release/synchroknot-virtual-system-on-chip-vsoc-a-paradigm-shift-in-cloud-computing-18643.html
4,MediaTek to Enhance India 5G Prospects in 2022: From Mainstream to Flagship,https://www.newsvoir.com/release/mediatek-to-enhance-india-5g-prospects-in-2022-from-mainstream-to-flagship-18609.html
5,MediaTek Spearheads BTL Campaign to Create Awareness about Dimensity 5G Chipset Series,https://www.newsvoir.com/release/mediatek-spearheads-btl-campaign-to-create-awareness-about-dimensity-5g-chipset-series-17480.html
6,Sonde's Voice Health Tracking comes to Qualcomm's Smartphone Chips,https://www.newsvoir.com/release/sonde-s-voice-health-tracking-comes-to-qualcomm-s-smartphone-chips-17288.html
7,Grinntech Emerges a Winner in the NXP India Start-up Challenge,https://www.newsvoir.com/release/grinntech-emerges-a-winner-in-the-nxp-india-start-up-challenge-16390.html
8,MediaTek Dimensity 800U Chip to Power Upcoming 5G Smartphones in India,https://www.newsvoir.com/release/mediatek-dimensity-800u-chip-to-power-upcoming-5g-smartphones-in-india-15217.html
9,Chitkara University in Collaboration with SCL Mohali Develops Neural Amplifier Silicon Chip ,https://www.newsvoir.com/release/chitkara-university-in-collaboration-with-scl-mohali-develops-neural-amplifier-silicon-chip-15174.html
10,"MediaTek Empowers Indian Smart Devices Ecosystem, Focuses on R&D to Reiterate Commitment to 'Make in India'",https://www.newsvoir.com/release/mediatek-empowers-indian-smart-devices-ecosystem-focuses-on-r-d-to-reiterate-commitment-to-apos-make-in-india-apos-14560.html
11,OSRAM Emphasises upon Augmenting Production of UV-C Lamps to Ensure Protection Against Bacteria and Viruses,https://www.newsvoir.com/release/osram-emphasises-upon-augmenting-production-of-uv-c-lamps-to-ensure-protection-against-bacteria-and-viruses-14344.html
12,OSRAM UV-C Lamps Show the Way Towards Total Protection Against COVID-19,https://www.newsvoir.com/release/osram-uv-c-lamps-show-the-way-towards-total-protection-against-covid-19-13895.html
13,Hero Electronix's Tessolve Acquires T&VS; Strengthens Chip Design Capabilities and Expands Market Footprint,https://www.newsvoir.com/release/hero-electronix-apos-s-tessolve-acquires-t-vs-strengthens-chip-design-capabilities-and-expands-market-footprint-13641.html
14,MediaTek Launches Newest Gaming Series Chipsets - Helio G70 & G80 - With Enhanced HyperEngine Technology for Superior Smartphone Gaming Experiences,https://www.newsvoir.com/release/mediatek-launches-newest-gaming-series-chipsets-helio-g70-g80-with-enhanced-hyperengine-technology-for-superior-smartphone-gaming-experiences-13357.html
15,OSRAM Brings Technology and Innovation to the Fore with Next Generation Products,https://www.newsvoir.com/release/osram-brings-technology-and-innovation-to-the-fore-with-next-generation-products-13300.html
16,LED Giant OPPLE Shares Growth Story at Conclave 2020,https://www.newsvoir.com/release/led-giant-opple-shares-growth-story-at-conclave-2020-13185.html
17,MediaTek to Focus on 5G Experiences and a Robust Product Roadmap for 2020,https://www.newsvoir.com/release/mediatek-to-focus-on-5g-experiences-and-a-robust-product-roadmap-for-2020-13056.html
18,The Second Edition of Smart Home Expo to Explore the Technology for Connected Homes,https://www.newsvoir.com/release/the-second-edition-of-smart-home-expo-to-explore-the-technology-for-connected-homes-12998.html
19,Schneider Electric Launches New Digital Ecosystem to Drive Worldwide Economies of Scale for IoT Solutions ,https://www.newsvoir.com/release/schneider-electric-launches-new-digital-ecosystem-to-drive-worldwide-economies-of-scale-for-iot-solutions-12339.html
20,Second Edition of MediaTek Technology Diaries Focuses on ‘Unlocking the Future’ with Next-gen Technologies ,https://www.newsvoir.com/release/second-edition-of-mediatek-technology-diaries-focuses-on-unlocking-the-future-with-next-gen-technologies--12231.html
21,PDM University Installs 1.1 MW Rooftop Solar Powered System to Light up its Campus,https://www.newsvoir.com/release/pdm-university-installs-1-1-mw-rooftop-solar-powered-system-to-light-up-its-campus-11467.html
22,MediaTek's Helio P70 Brings Advanced AI and Premium Upgrades to Mid-range Devices,https://www.newsvoir.com/release/mediatek-s-helio-p70-brings-advanced-ai-and-premium-upgrades-to-mid-range-devices-10864.html
23,MediaTek Introduces “Technology Diaries” - an Interactive Discussion Series,https://www.newsvoir.com/release/mediatek-introduces-technology-diaries---an-interactive-discussion-series-10619.html
24,Cosmos Solutions Receives USD 950 Million for New Eco-friendly Energy Product,https://www.newsvoir.com/release/cosmos-solutions-receives-usd-950-million-for-new-eco-friendly-energy-product-10603.html
25,"‘SDN & NFV India Congress 2017’ India’s Biggest Conference on SDN and NFV to be Held in Mumbai on November 1, 2017",https://www.newsvoir.com/release/-sdn-nfv-india-congress-2017-india-s-biggest-conference-on-sdn-and-nfv-to-be-held-in-mumbai-on-november-1-2017-9391.html
26,Tata Consultancy Services TAP Platform Recognized as a Strong Performer in eProcurement ,https://www.newsvoir.com/release/tata-consultancy-services-tap-platform-recognized-as-a-strong-performer-in-eprocurement-8835.html
27,"Huawei Released the CloudFAN Prototype for MSOs, Promoting Cloud Evolution for HFC Networks",https://www.newsvoir.com/release/huawei-released-the-cloudfan-prototype-for-msos-promoting-cloud-evolution-for-hfc-networks-8771.html
28,TCS iON to Launch an Integrated Cloud Based Solution for Educational Institutions ,https://www.newsvoir.com/release/tcs-ion-to-launch-an-integrated-cloud-based-solution-for-educational-institutions-8729.html
29,"Mumbai Students Want Cyber Safety as a Subject in their Academic Curriculum, says Research Conducted by Ahaan Foundation",https://www.newsvoir.com/release/mumbai-students-want-cyber-safety-as-a-subject-in-their-academic-curriculum-says-research-conducted-by-ahaan-foundation-8642.html
30,Zendesk Launches Guide - A Next Generation Knowledge Solution - To Provide Smarter Customer Service ,https://www.newsvoir.com/release/zendesk-launches-guide-a-next-generation-knowledge-solution-to-provide-smarter-customer-service-8637.html
31,AMTEX 2017 Concluded Showcasing Technological Innovation in Machine Tool Industry,https://www.newsvoir.com/release/amtex-2017-concluded-showcasing-technological-innovation-in-machine-tool-industry-8565.html
32,"Leading New ICT, Huawei India Partners with Redington to Expand its Enterprise Footprints in India",https://www.newsvoir.com/release/leading-new-ict-huawei-india-partners-with-redington-to-expand-its-enterprise-footprints-in-india-8556.html
33,Infosys Pune Becomes the Largest Campus in the World to Earn LEED Platinum Certification from US Green Building Council,https://www.newsvoir.com/release/infosys-pune-becomes-the-largest-campus-in-the-world-to-earn-leed-platinum-certification-from-us-green-building-council-8554.html
34,"India’s Largest Analytics Forum SAS Forum India to be held on April 26, 2017 at The Grand Hyatt, Mumbai",https://www.newsvoir.com/release/india-s-largest-analytics-forum-sas-forum-india-to-be-held-on-april-26-2017-at-the-grand-hyatt-mumbai-8549.html
35,Infosys Foundation Joins Hands with ‘Sahapedia’ to Promote a Penchant for Cultural and Historical Knowledge of India among the Masses,https://www.newsvoir.com/release/infosys-foundation-joins-hands-with-sahapedia-to-promote-a-penchant-for-cultural-and-historical-knowledge-of-india-among-the-masses-8544.html
36,Infosys Recognized as a ‘Leader' in NelsonHall’s NEAT Report for Big Data & Analytics Services,https://www.newsvoir.com/release/infosys-recognized-as-a-leader-in-nelsonhall-s-neat-report-for-big-data-analytics-services-8486.html
37,"Seclore Listed as 'Representative Vendor' in Recent Gartner Market Guide Report
on Enterprise Digital Rights Management (EDRM)",https://www.newsvoir.com/release/seclore-listed-as-apos-representative-vendor-apos-in-recent-gartner-market-guide-report-on-enterprise-digital-rights-management-edrm-8481.html
