,title,link
0,"On the Account of International Women's Day, ICICI Lombard Introduces 'RIA', Intelligent Virtual Assistant ",https://www.newsvoir.com/release/on-the-account-of-international-women-apos-s-day-icici-lombard-introduces-ria-intelligent-virtual-assistant-19667.html
1,OYO's Women-only Hackathon 'WomenInCtrl' to Improve Gender Diversity in Tech,https://www.newsvoir.com/release/oyos-women-only-hackathon-apos-womeninctrl-apos-to-improve-gender-diversity-in-tech-19654.html
2,"Contributing to Metaverse Revolution in India, Leading Extended Reality Innovator, AjnaLens, Raises Rs 12 Crore",https://www.newsvoir.com/release/contributing-to-metaverse-revolution-in-india-leading-extended-reality-innovator-ajnalens-raises-rs-12-crore-19595.html
3,NetRack Deploying High-density Rack Power to Support Healthcare - iPDU,https://www.newsvoir.com/release/netrack-deploying-high-density-rack-power-to-support-healthcare-ipdu-19566.html
4,"ERGO Group AG Launches 3rd Tech Hub of ERGO Technology and Services Management in Mumbai, India",https://www.newsvoir.com/release/ergo-group-ag-launches-3rd-tech-hub-of-ergo-technology-and-services-management-in-mumbai-india-19559.html
5,Catalysing Digital Healthcare: NASSCOM CoE - IoT and AI Launches Healthcare Innovation Challenge 3,https://www.newsvoir.com/release/catalysing-digital-healthcare-nasscom-coe-iot-and-ai-launches-healthcare-innovation-challenge-3-19539.html
6,SpaceBasic Partners with PES University to Introduce AI-powered Cafeteria Management System,https://www.newsvoir.com/release/spacebasic-partners-with-pes-university-to-introduce-ai-powered-cafeteria-management-system-19530.html
7,Technicolor Creative Studios Co-powers VFX and More Summit to Empower India's Animation and VFX Industry,https://www.newsvoir.com/release/technicolor-creative-studios-co-powers-vfx-and-more-summit-to-empower-india-s-animation-and-vfx-industry-19494.html
8,"Rhiti Group and EST Global Inc. Collaborate to Spearhead New-age AgriTech Solutions

 ",https://www.newsvoir.com/release/rhiti-group-and-est-global-inc-collaborate-to-spearhead-new-age-agritech-solutions-19462.html
9,'Devnagri' Presented Machine Translation Engine that Translates Instantly with more than 85 percent Contextual Results,https://www.newsvoir.com/release/devnagri-presented-machine-translation-engine-that-translates-instantly-with-more-than-85-percent-contextual-results-19369.html
10,EdTech Tulna Shortlists Matific as a Leading EdTech Platform Providing Exemplary Learning Experience for Young Learners,https://www.newsvoir.com/release/edtech-tulna-shortlists-matific-as-a-leading-edtech-platform-providing-exemplary-learning-experience-for-young-learners-19349.html
11,Smart Healthcare Ecosystem for India Launched by Government of India,https://www.newsvoir.com/release/smart-healthcare-ecosystem-for-india-launched-by-government-of-india-19350.html
12,"14 Eminent Global Leaders to Participate in VLSID 2022 between Feb 26-March 2, 2022


",https://www.newsvoir.com/release/14-eminent-global-leaders-to-participate-in-vlsid-2022-between-feb-26-march-2-2022-19256.html
13,Clutter Achieves 25 percent Improved Efficiency with Hiver,https://www.newsvoir.com/release/clutter-achieves-25-percent-improved-efficiency-with-hiver-19214.html
14,"Turing Launches a Global, Career-Centric Community for Developers",https://www.newsvoir.com/release/turing-launches-a-global-career-centric-community-for-developers-19176.html
15,Whatfix Announces New Data Centers and DAP Certification Program Launch Amid Exponential Company Growth,https://www.newsvoir.com/release/whatfix-announces-new-data-centers-and-dap-certification-program-launch-amid-exponential-company-growth-19133.html
16,Logicserve Digital's Phenomenal Transformation with New Growth Records,https://www.newsvoir.com/release/logicserve-digital-apos-s-phenomenal-transformation-with-new-growth-records-19080.html
17,Edukit: Catering the Demand of Enterprise Level LMS Solutions,https://www.newsvoir.com/release/edukit-catering-the-demand-of-enterprise-level-lms-solutions-19058.html
18,"Edtech Firm 'SpeEdLabs' to Expand its Presence to 800 Cities with its AI-Enabled Personalised Learning Platform in K12 and Test Prep Space
",https://www.newsvoir.com/release/edtech-firm-speedlabs-to-expand-its-presence-to-800-cities-with-its-ai-enabled-personalised-learning-platform-in-k12-and-test-prep-space-19051.html
19,Graphcore® Opens India Office to Accelerate Uptake of Advanced AI Compute,https://www.newsvoir.com/release/graphcore-opens-india-office-to-accelerate-uptake-of-advanced-ai-compute-19029.html
20,Manav Rachna Offers 7 UGC Approved Online Degrees with Robust Industry Alliances,https://www.newsvoir.com/release/manav-rachna-offers-7-ugc-approved-online-degrees-with-robust-industry-alliances-19020.html
21,"FlowTrack Develops Employee Monitoring Software for Linux, Stealth Mode",https://www.newsvoir.com/release/flowtrack-develops-employee-monitoring-software-for-linux-stealth-mode-19001.html
22,Netrack Prioritizing Business Resilience in 2022,https://www.newsvoir.com/release/netrack-prioritizing-business-resilience-in-2022-18989.html
23,Polygon BUIDL IT becomes India's Exclusive and Largest Web3 Hackathon with 186 Projects ,https://www.newsvoir.com/release/polygon-buidl-it-becomes-india-s-exclusive-and-largest-web3-hackathon-with-186-projects-18904.html
24,"myBillBook Launches POS Billing, a Complete Billing and Inventory Solution for Retailers and Franchises",https://www.newsvoir.com/release/mybillbook-launches-pos-billing-a-complete-billing-and-inventory-solution-for-retailers-and-franchises-18900.html
25,"Cloud-based Security Service provider InstaSafe Awarded as ""Security Product Company of the Year"" by DSCI 11th Edition",https://www.newsvoir.com/release/cloud-based-security-service-provider-instasafe-awarded-as-quot-security-product-company-of-the-year-quot-by-dsci-11th-edition-18836.html
