,title,link
0,W Launches a Mega-campaign - 'W is More'; Expands its Offering across New Categories to Own the Complete Head-to-Toe Fashion Space,https://www.newsvoir.com/release/w-launches-a-mega-campaign-w-is-more-expands-its-offering-across-new-categories-to-own-the-complete-head-to-toe-fashion-space-19656.html
1,"India to Become Fastest-Growing Green Economy of the World: Piyush Goyal, Commerce and Industry Minister",https://www.newsvoir.com/release/india-to-become-fastest-growing-green-economy-of-the-world-piyush-goyal-commerce-and-industry-minister-19646.html
2,"Birla Century's Home Division Ventures into Home Bedding Segment with the Launch of Hill & Glade
",https://www.newsvoir.com/release/birla-centurys-home-division-ventures-into-home-bedding-segment-with-the-launch-of-hill-glade-19632.html
3,"""Union Budget 2022-23 Positive and Growth Oriented"", Chairman, TEXPROCIL",https://www.newsvoir.com/release/union-budget-2022-23-positive-and-growth-oriented-chairman-texprocil-19249.html
4,SVP Global Ventures Ltd. is now SVP Global Textiles Ltd.,https://www.newsvoir.com/release/svp-global-ventures-ltd-is-now-svp-global-textiles-ltd-19067.html
5,"Banno's Swagger, a Platform 'Of The Bannos, By The Bannos, For The Bannos'",https://www.newsvoir.com/release/banno-s-swagger-a-platform-of-the-bannos-by-the-bannos-for-the-bannos-18940.html
6,"Rolling Back of GST Hike, Stabilise Cotton Price are key Expectations of the Textile Sector from Union Budget 2022 - SVP Global Textiles Ltd.",https://www.newsvoir.com/release/rolling-back-of-gst-hike-stabilise-cotton-price-are-key-expectations-of-the-textile-sector-from-union-budget-2022-svp-global-textiles-ltd-18922.html
7,"India looking at USD 2.5 Bn Investment in Textiles Sector, Create 0.75 Mn Jobs",https://www.newsvoir.com/release/india-looking-at-usd-2-5-bn-investment-in-textiles-sector-create-0-75-mn-jobs-18519.html
8,CMAI Launched CMAI ARBITRATION CELL to Provide Immense Support to the Industry Members,https://www.newsvoir.com/release/cmai-launched-cmai-arbitration-cell-to-provide-immense-support-to-the-industry-members-18499.html
9,India to Look for Innovative Partnerships at EXPO2020 to become Preferred Sourcing Partner for Global Textile Industry,https://www.newsvoir.com/release/india-to-look-for-innovative-partnerships-at-expo2020-to-become-preferred-sourcing-partner-for-global-textile-industry-18495.html
10,Cotton Council International Celebrates Second Virtual Cotton Day India,https://www.newsvoir.com/release/cotton-council-international-celebrates-second-virtual-cotton-day-india-18452.html
11,Trident Brand Studio Declared 'India's Best In-House Design Studio',https://www.newsvoir.com/release/trident-brand-studio-declared-india-s-best-in-house-design-studio-18389.html
12,Nesterra Decor Gifts Moments of Festive Joy to Travelers this Diwali,https://www.newsvoir.com/release/nesterra-decor-gifts-moments-of-festive-joy-to-travelers-this-diwali-18364.html
13,Siyaram's Launches Bamboo Fabric - Most Eco-Friendly Fabric on The Planet with Bollywood Superstar and Brand Ambassador Ranveer Singh,https://www.newsvoir.com/release/siyaram-s-launches-bamboo-fabric-most-eco-friendly-fabric-on-the-planet-with-bollywood-superstar-and-brand-ambassador-ranveer-singh-18345.html
14,NIFT Alumni Knocking the Door of the Fashion Industry with Khadi in High-end Fashion,https://www.newsvoir.com/release/nift-alumni-knocking-the-door-of-the-fashion-industry-with-khadi-in-high-end-fashion-18330.html
15,Sidrock Denim Launches Eco-friendly and Sustainable Kids Garment,https://www.newsvoir.com/release/sidrock-denim-launches-eco-friendly-and-sustainable-kids-garment-18205.html
16,Trident Ltd. Announces 36 percent Dividend,https://www.newsvoir.com/release/trident-ltd-announces-36-dividend-18129.html
17,"India's First Reusable Cloth Diaper for Infants by Snugkins
",https://www.newsvoir.com/release/india-s-first-reusable-cloth-diaper-for-infants-by-snugkins-18092.html
18,"Norlanka Brands, from The PDS Multinational Group Continues to Build the Organic Kids Wear Category in India with Turtledove London 
",https://www.newsvoir.com/release/norlanka-brands-from-the-pds-multinational-group-continues-to-build-the-organic-kids-wear-category-in-india-with-turtledove-london-18039.html
19,Celebrate in Style with the New Festive Collection from fbb,https://www.newsvoir.com/release/celebrate-in-style-with-the-new-festive-collection-from-fbb-17972.html
20,Trident Takes Giant Leap Towards Becoming a National Brand with myTrident.com,https://www.newsvoir.com/release/trident-takes-giant-leap-towards-becoming-a-national-brand-with-mytrident-com-17955.html
21,Taneira Commemorates Gandhi Jayanti with a Limited-edition Khadi Collection,https://www.newsvoir.com/release/taneira-commemorates-gandhi-jayanti-with-a-limited-edition-khadi-collection-17885.html
22,Governor of Maharashtra Honours Kapil Pathare with Business Excellence and VIP Innerwear as Best Brand 2021-22,https://www.newsvoir.com/release/governor-of-maharashtra-honours-kapil-pathare-with-business-excellence-and-vip-innerwear-as-best-brand-2021-22-17793.html
23,Technical Textiles Sector Likely to be the Next Sunshine Industry: Texel Industries,https://www.newsvoir.com/release/technical-textiles-sector-likely-to-be-the-next-sunshine-industry-texel-industries-17786.html
24,'Nesterra' from the House of Sutlej sweeps the decor space with a series of Next-Gen collections designed to 'Feature You',https://www.newsvoir.com/release/nesterra-from-the-house-of-sutlej-sweeps-the-decor-space-with-a-series-of-next-gen-collections-designed-to-feature-you-17688.html
25,"PLI Scheme will Boost Textile Exports, Chairman, TEXPROCIL",https://www.newsvoir.com/release/pli-scheme-will-boost-textile-exports-chairman-texprocil-17652.html
26,Mysuru Based Tech Company Infopine Raises Funds to Support its Product Expansion and Innovation Plans,https://www.newsvoir.com/release/mysuru-based-tech-company-infopine-raises-funds-to-support-its-product-expansion-and-innovation-plans-17604.html
27,"Texel Industries Ltd. to Start Commercial Operations of its 10,080 MT Geosynthetics Products Facility at Kheda ",https://www.newsvoir.com/release/texel-industries-ltd-to-start-commercial-operations-of-its-10-080-mt-geosynthetics-products-facility-at-kheda-17559.html
28,"RoDTEP Rates will Increase Exports of Cotton Textiles, Chairman, TEXPROCIL ",https://www.newsvoir.com/release/rodtep-rates-will-increase-exports-of-cotton-textiles-chairman-texprocil-17405.html
29,TEXPROCIL Welcomes the Issuance of Govt. Notification on Extension of the RoSCTL Scheme,https://www.newsvoir.com/release/texprocil-welcomes-the-issuance-of-govt-notification-on-extension-of-the-rosctl-scheme-17372.html
30,"Prime Minister's Address Inspires Exporters to Increase Exports and Achieve the National Target: Chairman, TEXPROCIL",https://www.newsvoir.com/release/prime-minister-address-inspires-exporters-to-increase-exports-and-achieve-the-national-target-chairman-texprocil-17302.html
31,"SleepX Promises Comfort to Couples with its Half Half Mattress - LetYourMattressAdjust
",https://www.newsvoir.com/release/sleepx-promises-comfort-to-couples-with-its-half-half-mattress-letyourmattressadjust-17295.html
32,HEWA Expressed Thanks to Modi Government for Extending the RoSCTL Scheme for Three Years,https://www.newsvoir.com/release/hewa-expressed-thanks-to-modi-government-for-extending-the-rosctl-scheme-for-three-years-17072.html
33,"Chairman, TEXPROCIL Welcomes Extension of the RoSCTL Scheme for Made ups
",https://www.newsvoir.com/release/chairman-texprocil-welcomes-extension-of-the-rosctl-scheme-for-made-ups-17061.html
34,"Indo Count, India's Largest Bed Linen Exporter Partners with British Designer Jasper Conran",https://www.newsvoir.com/release/indo-count-india-s-largest-bed-linen-exporter-partners-with-british-designer-jasper-conran-16916.html
35,Trident Limited Launches its all-new Corporate Website,https://www.newsvoir.com/release/trident-limited-launches-its-all-new-corporate-website-16844.html
36,"Extension in Period for Repayment under ECLGS will help MSMEs - Chairman TEXPROCIL 
 
",https://www.newsvoir.com/release/extension-in-period-for-repayment-under-eclgs-will-help-msmes-chairman-texprocil-16670.html
