,title,link
0,Consumer Groups to Hold Webinar on Tobacco Harm Reduction,https://www.newsvoir.com/release/consumer-groups-to-hold-webinar-on-tobacco-harm-reduction-14642.html
1,"Ex-smokers say Quitting is Tough, Call for Robust Cessation Ecosystem",https://www.newsvoir.com/release/ex-smokers-say-quitting-is-tough-call-for-robust-cessation-ecosystem-14516.html
2,"Butt out the Cigarette Butts with Let's Do It India's ""Fugitive"" this World Cleanup Day",https://www.newsvoir.com/release/butt-out-the-cigarette-butts-with-let-apos-s-do-it-india-apos-s-quot-fugitive-quot-this-world-cleanup-day-14343.html
3,E-cigarette Users in India to Observe World Vape Day on May 30,https://www.newsvoir.com/release/e-cigarette-users-in-india-to-observe-world-vape-day-on-may-30-13929.html
4,Vapers to Celebrate World Vape Day on May 30,https://www.newsvoir.com/release/vapers-to-celebrate-world-vape-day-on-may-30-13920.html
5,Vapers Ask Centre to Revise Position on E-cigarettes ,https://www.newsvoir.com/release/vapers-ask-centre-to-revise-position-on-e-cigarettes-13706.html
6,CAPHRA Urges Health Ministry to Discuss Rights of Vapers in Global Treaty ,https://www.newsvoir.com/release/caphra-urges-health-ministry-to-discuss-rights-of-vapers-in-global-treaty-13603.html
7," I'M Possible - Authored by Dr. K Hari Prasad, President, Apollo Group-Hospitals, Released by a Galaxy of Health Industry Stalwarts",https://www.newsvoir.com/release/i-apos-m-possible-authored-by-dr-k-hari-prasad-president-apollo-group-hospitals-released-by-a-galaxy-of-health-industry-stalwarts-13406.html
8,"Doctors Raise Concern that ban on E-cigarettes will Increase Cancer, Lung Diseases Cases",https://www.newsvoir.com/release/doctors-raise-concern-that-ban-on-e-cigarettes-will-increase-cancer-lung-diseases-cases-13009.html
9,Ban on Vaping in Delhi will have Adverse Effects - Association of Vapers India,https://www.newsvoir.com/release/ban-on-vaping-in-delhi-will-have-adverse-effects-association-of-vapers-india-12165.html
10,AXA and Public Health Foundation of India Announce Partnership will Focus on Reducing the Health Burden from Non-Communicable Diseases and Strengthen the Enforcement of Tobacco Control & Cessation in India,https://www.newsvoir.com/release/axa-and-public-health-foundation-of-india-announce-partnership-will-focus-on-reducing-the-health-burden-from-non-communicable-diseases-and-strengthen-the-enforcement-of-tobacco-control-cessation-in-india-10374.html
11,Rajiv Gandhi Cancer Institute Launches Screening and Awareness Drive against Tobacco ,https://www.newsvoir.com/release/rajiv-gandhi-cancer-institute-launches-screening-and-awareness-drive-against-tobacco-10245.html
12,Global E-Cigarette Market Outlook to 2021: Ken Research,https://www.newsvoir.com/release/global-e-cigarette-market-outlook-to-2021-ken-research-9470.html
13,Aftermath of Change in Tax Structure - Cigarette Market in Cambodia: Ken Research,https://www.newsvoir.com/release/aftermath-of-change-in-tax-structure-cigarette-market-in-cambodia-ken-research-8222.html
14,"Poor Diets Now Pose a Greater Risk to Health than Unsafe Sex, Alcohol, Drug and Tobacco Use Combined",https://www.newsvoir.com/release/poor-diets-now-pose-a-greater-risk-to-health-than-unsafe-sex-alcohol-drug-and-tobacco-use-combined-7597.html
15,"Only Gutkha is Banned. No Ban by Supreme Court on Chewing Tobacco, Cigarette or Beedi",https://www.newsvoir.com/release/only-gutkha-is-banned-no-ban-by-supreme-court-on-chewing-tobacco-cigarette-or-beedi-7551.html
16,"Catch Them Young to Keep them Healthy, Says New Report by PRB",https://www.newsvoir.com/release/catch-them-young-to-keep-them-healthy-says-new-report-by-prb-7128.html
17,"Over 70% Respondents Ignore Warnings on Cigarette Packets, Says 
ICICI Lombard Survey “What’s Our Stand on Smoking?”
",https://www.newsvoir.com/release/over-70-respondents-ignore-warnings-on-cigarette-packets-says-icici-lombard-survey-what-s-our-stand-on-smoking--6804.html
