,title,link
0,Women at workplace Champion Kunal Chowdhry Invests in RushOwl - AI-based Public Transport Service,https://www.newsvoir.com/release/women-at-workplace-champion-kunal-chowdhry-invests-in-rushowl-ai-based-public-transport-service-19627.html
1,"GreenCell Mobility Kicks off 51st National Safety Week, Reinforces Workplace Safety, Health, and Environment Practices",https://www.newsvoir.com/release/greencell-mobility-kicks-off-51st-national-safety-week-reinforces-workplace-safety-health-and-environment-practices-19604.html
2,How Leo Packers is Tackling the Issue of Fraud Imposters to Protect Clients,https://www.newsvoir.com/release/how-leo-packers-is-tackling-the-issue-of-fraud-imposters-to-protect-clients-19200.html
3,Engineer Vaibhav Ghadiok Architects the First Autonomous Traffic Management Platform in the World,https://www.newsvoir.com/release/engineer-vaibhav-ghadiok-architects-the-first-autonomous-traffic-management-platform-in-the-world-19006.html
4,Jet Freight Migrates from NSE-Emerge Platform to NSE and BSE Main Board,https://www.newsvoir.com/release/jet-freight-migrates-from-nse-emerge-platform-to-nse-and-bse-main-board-18809.html
5,Enmovil Solutions Raises INR 10 Cr in Pre-Series A Round Led by Anicut Angel Fund,https://www.newsvoir.com/release/enmovil-solutions-raises-inr-10-cr-in-pre-series-a-round-led-by-anicut-angel-fund-18732.html
6,"MB Power, ACC, Join Hands to Transport Fly Ash using Indian Railways in Madhya Pradesh


",https://www.newsvoir.com/release/mb-power-acc-join-hands-to-transport-fly-ash-using-indian-railways-in-madhya-pradesh-18493.html
7,NimbusPost Enables Seamless Shipment of Goods for E-commerce Sellers,https://www.newsvoir.com/release/nimbuspost-enables-seamless-shipment-of-goods-for-e-commerce-sellers-17903.html
8,Ecom Express Launches Delivery Partner Program Empowering Gig Workforce,https://www.newsvoir.com/release/ecom-express-launches-delivery-partner-program-empowering-gig-workforce-17689.html
9,Equirus Announces Transaction Closure for Thrissur Expressway Ltd.,https://www.newsvoir.com/release/equirus-announces-transaction-closure-for-thrissur-expressway-ltd-17677.html
10,Book Travel on Goibibo and Scoop Up Rewarding Offers with Leading Partner Brands ,https://www.newsvoir.com/release/book-travel-on-goibibo-and-scoop-up-rewarding-offers-with-leading-partner-brands-17255.html
11,"GreenCell Mobility Announces B2C eMaaS Platform with 3,250 Electric Buses, Globally First to Launch Intercity eMobility Coach Brand",https://www.newsvoir.com/release/greencell-mobility-announces-b2c-emaas-platform-with-3-250-electric-buses-globally-first-to-launch-intercity-emobility-coach-brand-17239.html
12,Lock Flight Fare and Book Later at the Same Price through 'Price Lock' on Goibibo ,https://www.newsvoir.com/release/lock-flight-fare-and-book-later-at-the-same-price-through-price-lock-on-goibibo-17151.html
13,"Mastercard, Mumbai Metro and Axis Bank Launch 'One Mumbai Metro Card', to Ensure a Seamless Commute for Mumbaikars ",https://www.newsvoir.com/release/mastercard-mumbai-metro-and-axis-bank-launch-one-mumbai-metro-card-to-ensure-a-seamless-commute-for-mumbaikars-17002.html
14,"GoAir Launches Car Rental Service, Partners with Eco Europcar
",https://www.newsvoir.com/release/goair-launches-car-rental-service-partners-with-eco-europcar-16371.html
15,"88% Corporate Executives would use Office Transportation if Sustainable in Nature, Lithium Survey Reveals",https://www.newsvoir.com/release/88-corporate-executives-would-use-office-transportation-if-sustainable-in-nature-lithium-survey-reveals-16160.html
