,title,link
0,MakeMyTrip Announces 'Homestay Awards' to Celebrate India's Growing Homestays and Alternative Accommodation Ecosystem,https://www.newsvoir.com/release/makemytrip-announces-homestay-awards-to-celebrate-indias-growing-homestays-and-alternative-accommodation-ecosystem-19705.html
1,Idbook Launches Flagship Franchising Model for Hotels Across India,https://www.newsvoir.com/release/idbook-launches-flagship-franchising-model-for-hotels-across-india-19576.html
2,Frankfinn Receives the Award for 'Best Air Hostess Training Institute' for 10th Year in a Row at 13th ASSOCHAM International Conference cum Awards,https://www.newsvoir.com/release/frankfinn-receives-the-award-for-apos-best-air-hostess-training-institute-apos-for-10th-year-in-a-row-at-13th-assocham-international-conference-cum-awards-19564.html
3,Four Reasons to Choose a Cruise Vacation for Your Next Romantic Getaway,https://www.newsvoir.com/release/four-reasons-to-choose-a-cruise-vacation-for-your-next-romantic-getaway-19554.html
4,Kandima Maldives Presents An Extraordinary Tale of Love to Suit Every Lifestyle ,https://www.newsvoir.com/release/kandima-maldives-presents-an-extraordinary-tale-of-love-to-suit-every-lifestyle-19343.html
5,Gurugram-based Travel Technology Company i2a Technologies to Open its Branch in Chandigarh,https://www.newsvoir.com/release/gurugram-based-travel-technology-company-i2a-technologies-to-open-its-branch-in-chandigarh-19048.html
6,Punjab's Best Kept Secret Thana-Dehrian-Kukanet Jungle Safari Inaugurated,https://www.newsvoir.com/release/punjabs-best-kept-secret-thana-dehrian-kukanet-jungle-safari-inaugurated-18980.html
7,India to Announce New Policy to Strengthen Tourism Sector,https://www.newsvoir.com/release/india-to-announce-new-policy-to-strengthen-tourism-sector-18958.html
8,India-based Tamara Leisure Experiences Strengthens its German Portfolio with 4th Hotel Acquisition,https://www.newsvoir.com/release/india-based-tamara-leisure-experiences-strengthens-its-german-portfolio-with-4th-hotel-acquisition-18934.html
9,Five Reasons to Celebrate Christmas on a Cruise,https://www.newsvoir.com/release/five-reasons-to-celebrate-christmas-on-a-cruise-18863.html
10,Tech-driven Road Safety 2.0 Launched under World Economic Forum Initiative,https://www.newsvoir.com/release/tech-driven-road-safety-2-0-launched-under-world-economic-forum-initiative-18681.html
11,TripGain: An App for Corporates to 'Gain While Making Trips',https://www.newsvoir.com/release/tripgain-an-app-for-corporates-to-apos-gain-while-making-trips-apos-18600.html
12,"Travel, Recommend and Earn with Goibibo",https://www.newsvoir.com/release/travel-recommend-and-earn-with-goibibo-18586.html
13,"Soneva Launches Soneva Soul, a New Wellness Concept that Reconnects Mind, Body and Soul ",https://www.newsvoir.com/release/soneva-launches-soneva-soul-a-new-wellness-concept-that-reconnects-mind-body-and-soul-18575.html
