,title,link
0,Socomec India Unveils New Website to Mark its 100th Anniversary,https://www.newsvoir.com/release/socomec-india-unveils-new-website-to-mark-its-100th-anniversary-19671.html
1,Talking About Kidney Health in the Language of the World,https://www.newsvoir.com/release/talking-about-kidney-health-in-the-language-of-the-world-19670.html
2,"AWIB, An Indian Think Tank is bringing Prosperity among Women Entrepreneurs in India and South East Asia",https://www.newsvoir.com/release/awib-an-indian-think-tank-is-bringing-prosperity-among-women-entrepreneurs-in-india-and-south-east-asia-19659.html
3,"EventScape Announces India's First Community For Independent Filmmakers to Host, Ticket, Stream and Engage their Audiences
",https://www.newsvoir.com/release/eventscape-announces-india-s-first-community-for-independent-filmmakers-to-host-ticket-stream-and-engage-their-audiences-19581.html
4,"After Making Monsoons Fashionable for 30 Years, Classic Umbrella Goes Online with Wholesale Website",https://www.newsvoir.com/release/after-making-monsoons-fashionable-for-30-years-classic-umbrella-goes-online-with-wholesale-website-19513.html
5,RDX Digital Solutions Make it Big at AVA Digital Awards,https://www.newsvoir.com/release/rdx-digital-solutions-make-it-big-at-ava-digital-awards-19405.html
6,"Rashtra News, a Online News and Media Website Emerging as a Primary Online Newspaper and Publication",https://www.newsvoir.com/release/rashtra-news-a-online-news-and-media-website-emerging-as-a-primary-online-newspaper-and-publication-19331.html
7,Taniya Bhatia Joins Hand with Real11 as their Brand Ambassador,https://www.newsvoir.com/release/taniya-bhatia-joins-hand-with-real11-as-their-brand-ambassador-19160.html
8,Luxury Watch Boutique Art of Time brings the World of Haute Horlogerie into your Home,https://www.newsvoir.com/release/luxury-watch-boutique-art-of-time-brings-the-world-of-haute-horlogerie-into-your-home-19131.html
9,"Tring, On Track to do 1 Lakh Personalised Celebrity Videos Monthly ",https://www.newsvoir.com/release/tring-on-track-to-do-1-lakh-personalised-celebrity-videos-monthly-19091.html
10,MetroMedi Adopts Latest Web Technologies to Launch Relief Program for Online Counselling and Nutraceuticals' Products,https://www.newsvoir.com/release/metromedi-adopts-latest-web-technologies-to-launch-relief-program-for-online-counselling-and-nutraceuticals-products-19009.html
11,"NCW Launches an Online Knowledge Repository for Women in Collaboration with Meta, CyberPeace Foundation and Autobot Infosec",https://www.newsvoir.com/release/ncw-launches-an-online-knowledge-repository-for-women-in-collaboration-with-meta-cyberpeace-foundation-and-autobot-infosec-18972.html
12,"GrabOn Christmas Carnival, Sponsored by MFine Receives Massive Response",https://www.newsvoir.com/release/grabon-christmas-carnival-sponsored-by-mfine-receives-massive-response-18930.html
13,BabyChakra's Change Makers 2021 - From Moms to Super Moms,https://www.newsvoir.com/release/babychakra-s-change-makers-2021-from-moms-to-super-moms-18901.html
14,Chicco India Launches its e-commerce Website Offering Experiential Buying for Consumers,https://www.newsvoir.com/release/chicco-india-launches-its-e-commerce-website-offering-experiential-buying-for-consumers-18799.html
